"año","sexo","flujo_neto"
1,"Hombres",16023467092.8
2,"Hombres",15630012840.9405
3,"Hombres",15125751081.3323
4,"Hombres",14594486731.1704
5,"Hombres",14030955732.6113
6,"Hombres",13549938561.7092
7,"Hombres",13053322419.1358
8,"Hombres",12444630292.8081
9,"Hombres",11967492332.5944
10,"Hombres",11348789485.5876
11,"Hombres",10826823118.2987
12,"Hombres",10275939063.3453
13,"Hombres",9692732022.74684
14,"Hombres",9163480937.35476
15,"Hombres",8597719617.21536
16,"Hombres",8113592484.10224
17,"Hombres",7573133470.39052
18,"Hombres",7167355862.19424
19,"Hombres",6763304020.74888
20,"Hombres",6340115202.27432
21,"Hombres",5988713829.92488
22,"Hombres",5569430023.3376
23,"Hombres",5164826261.29028
24,"Hombres",4742789355.33744
25,"Hombres",4450395110.4546
26,"Hombres",4080901781.67176
27,"Hombres",3753269580.8804
28,"Hombres",3489876089.38436
29,"Hombres",3208810583.5126
30,"Hombres",2963617672.59712
31,"Hombres",2681780005.0298
32,"Hombres",2398000389.064
33,"Hombres",2170564068.57576
34,"Hombres",1882095144.49984
35,"Hombres",1628440291.28548
36,"Hombres",1378926572.1074
37,"Hombres",1170776771.39336
38,"Hombres",953255291.95
39,"Hombres",722425909.044
40,"Hombres",542373073.14504
41,"Hombres",300333847.7986
42,"Hombres",145163295.50552
43,"Hombres",-10922942.49576
44,"Hombres",-166383890.75952
45,"Hombres",-283444342.59644
46,"Hombres",-390844206.75416
47,"Hombres",-503945664.98608
48,"Hombres",-473382018.046
49,"Hombres",-432123132.3398
50,"Hombres",-392308950.84404
51,"Hombres",-357165148.63636
52,"Hombres",-326160490.07048
53,"Hombres",-284243377.16056
54,"Hombres",-235780397.87712
55,"Hombres",-199153920.93348
56,"Hombres",-154874592.32076
57,"Hombres",-126080154.91764
58,"Hombres",-95295608.38244
59,"Hombres",-67578803.23748
60,"Hombres",-44204795.93408
61,"Hombres",-23288794.6374
62,"Hombres",0
